OTU ID,kingdom,phylum,class,order,family,genus,species
OTU6737,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Iamiaceae,g__Iamia,s__metagenome_g__Iamia
OTU6738,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__norank_f__Vicinamibacteraceae,s__unclassified_g__norank_f__Vicinamibacteraceae
OTU6749,Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__Candidatus_Solibacter,s__unclassified_g__Candidatus_Solibacter
OTU6763,Bacteria,p__Actinobacteriota,c__Actinobacteria,o__0319-7L14,f__norank_o__0319-7L14,g__norank_f__norank_o__0319-7L14,s__uncultured_bacterium_g__norank_f__norank_o__0319-7L14
OTU6764,Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__unclassified_g__Nocardioides
OTU6767,Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__unclassified_g__norank_f__norank_o__Gaiellales
OTU677,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__norank_o__Microtrichales,g__norank_f__norank_o__Microtrichales,s__unclassified_g__norank_f__norank_o__Microtrichales
OTU6779,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__unclassified_f__Acetobacteraceae,s__unclassified_f__Acetobacteraceae
OTU6785,Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Candidatus_Udaeobacter,s__unclassified_g__Candidatus_Udaeobacter
OTU6787,Bacteria,p__Chloroflexi,c__JG30-KF-CM66,o__norank_c__JG30-KF-CM66,f__norank_o__norank_c__JG30-KF-CM66,g__norank_f__norank_o__norank_c__JG30-KF-CM66,s__unclassified_g__norank_f__norank_o__norank_c__JG30-KF-CM66
OTU6789,Bacteria,p__Acidobacteriota,c__Blastocatellia,o__11-24,f__norank_o__11-24,g__norank_f__norank_o__11-24,s__uncultured_Acidobacteria_bacterium_g__norank_f__norank_o__11-24
OTU679,Bacteria,p__Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__norank_f__Caldilineaceae,s__uncultured_bacterium_g__norank_f__Caldilineaceae
OTU6793,Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__unclassified_g__RB41
OTU6799,Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__S085,f__norank_o__S085,g__norank_f__norank_o__S085,s__metagenome_g__norank_f__norank_o__S085
OTU68,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__norank_o__Rhizobiales,g__norank_f__norank_o__Rhizobiales,s__unclassified_g__norank_f__norank_o__Rhizobiales
OTU6801,Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__unclassified_f__Gemmatimonadaceae,s__unclassified_f__Gemmatimonadaceae
OTU6813,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Microvirga,s__uncultured_bacterium_g__Microvirga
OTU6819,Bacteria,p__Acidobacteriota,c__Subgroup_11,o__norank_c__Subgroup_11,f__norank_o__norank_c__Subgroup_11,g__norank_f__norank_o__norank_c__Subgroup_11,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Subgroup_11
OTU6820,Bacteria,p__Chloroflexi,c__TK10,o__norank_c__TK10,f__norank_o__norank_c__TK10,g__norank_f__norank_o__norank_c__TK10,s__unclassified_g__norank_f__norank_o__norank_c__TK10
OTU6846,Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__uncultured_Acidobacteria_bacterium_g__RB41
OTU6850,Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__PB19,f__norank_o__PB19,g__norank_f__norank_o__PB19,s__uncultured_Desulfuromonadales_bacterium_g__norank_f__norank_o__PB19
